#TITLE:Forever Young
#ARTIST:Alphaville
#LANGUAGE:English
#MP3:Alphaville - Forever Young.mp3
#COVER:Alphaville - Forever Young [CO].jpg
#BACKGROUND:Alphaville - Forever Young [BG].jpg
#BPM:63
#GAP:14000
: 488 1 67  For
: 489 3 69 e
: 492 1 67 ver
: 494 2 67  young.
: 497 1 62  I
: 498 1 64  want
: 499 1 65  to
: 500 2 64  be
: 503 1 67  for
: 504 3 65 e
: 507 1 64 ver
: 508 3 60  young.
- 511
: 518 1 62  Do you
: 519 1 62  rea
: 520 1 62 lly
: 521 1 64  want
: 522 1 65  to
: 523 2 64  live
: 525 1 62  for
: 526 2 60 e
: 528 2 57 ver?
- 530
: 532 1 60  For
: 533 2 60 e
: 535 4 57 ver,
: 540 1 62  and
: 541 3 64  e
: 544 3 62 ver!
- 547
: 547 1 67  For
: 548 3 69 e
: 551 1 67 ver
: 552 2 67  young.
: 556 1 62  I
: 557 1 64  want
: 558 1 65  to
: 559 2 64  be
: 562 1 67  for
: 563 2 65 e
: 565 2 64 ver
: 567 3 60  young.
- 570
: 577 1 62  Do you
: 578 1 62  rea
: 579 1 62 lly
: 580 1 64  want
: 581 1 65  to
: 582 2 64  live
: 584 1 62  for
: 585 2 60 e
: 587 2 57 ver?
- 589
: 591 1 60  For
: 592 2 60 e
: 594 4 57 ver,
: 599 1 62  and
: 600 2 64  e
: 602 3 62 ver!
- 605
: 606 1 67  For
: 607 3 69 e
: 610 1 67 ver
: 611 3 67  young,
- 614
: 615 1 67  I
: 616 2 67  want
: 618 1 67  to
: 619 2 69  be
: 621 1 69 for
: 622 3 69 e
: 625 2 67 ver
: 627 5 69  young.
- 632
: 635 1 67  Do
: 636 1 67  you
: 637 1 67  rea
: 638 1 67 lly
: 639 1 67  want
: 640 1 67  to
: 641 1 69  live
: 643 1 67  for
: 644 2 69 e
: 646 18 72 ver?
E
