#TITLE:History
#ARTIST:Michael Jackson
#LANGUAGE:English
#MP3:Michael Jackson - History.mp3
#COVER:Michael Jackson - History [CO].jpg
#BACKGROUND:Michael Jackson - History [BG].jpg
#BPM:125
#GAP:68000
: 1133 3 54  and
: 1136 4 56  li
: 1140 4 58 ber
: 1144 4 54 ty!
- 1150
: 1153 2 58  Eve
: 1155 2 61 ry
: 1157 3 59  day
: 1160 2 58  cre
: 1162 3 56 ate
: 1165 3 54  your
: 1168 4 56  his
: 1172 4 58 to
: 1176 5 54 ry!
- 1183
: 1195 2 58 E
: 1197 2 61 very
: 1199 4 59  page
: 1203 2 58  you
: 1205 3 56  turn
: 1208 3 56  you're
: 1211 5 56  writ
: 1216 3 56 ing
: 1219 3 54  your
: 1222 4 56  le
: 1226 3 58 ga
: 1229 7 54 cy!
- 1237
: 1237 2 58 E
: 1239 2 61 very
: 1241 4 59  he
: 1245 2 58 ro
: 1247 4 56  dreams
: 1251 2 56  of
: 1253 4 58  chi
: 1257 4 54 val
: 1261 6 56 ry!
- 1269
: 1280 2 58 E
: 1282 2 61 very
: 1284 4 59  child
: 1288 2 58  should
: 1290 3 58  sing
: 1293 3 56  to
: 1296 4 54 ge
: 1300 4 56 ther
: 1304 2 56  in
: 1306 5 58  har
: 1311 3 56 mo
: 1314 2 54 ny!
- 1316
: 1316 2 58 All
: 1318 2 58  na
: 1320 5 61 tions
: 1325 8 59  sing!
- 1334
: 1334 4 58  Let's
: 1338 3 56  har
: 1341 2 54 mo
: 1343 5 56 nize
: 1349 3 58  all
: 1352 1 54  a
: 1353 3 56 rou
: 1356 1 56 nd
: 1357 3 58  the
: 1360 9 54  world!
- 1371
: 1529 5 63  How
: 1534 2 63  ma
: 1536 2 63 ny
: 1539 3 65  vic
: 1542 5 65 tims
- 1549
: 1551 5 66  must
: 1557 3 63  there
: 1561 4 63  be
- 1567
: 1570 6 59 Slaugh
: 1576 2 59 ter
: 1578 2 59 ed
: 1580 1 59  in
: 1581 6 61  vain
: 1587 1 61  a
: 1588 3 61 cross
: 1591 2 56  the
: 1593 12 58  land?
- 1607
: 1612 3 59 And
: 1615 5 59  how
: 1620 2 63  ma
: 1622 2 63 ny
: 1624 3 61  child
: 1627 9 61 ren
: 1636 6 61  must
: 1642 3 56  we
: 1645 7 58  see
- 1653
: 1655 2 63 Be
: 1657 3 63 fore
: 1660 3 63  we
: 1663 2 65  learn
: 1665 2 65  to
: 1667 4 66  live
: 1671 2 65  as
: 1673 3 63  bro
: 1676 8 61 thers
- 1685
: 1685 3 61 And
: 1688 4 58  live
: 1692 2 56  one
: 1694 3 56  fa
: 1697 2 56 mi
: 1699 11 58 ly,
: 1710 14 54  oh!
- 1725
: 1726 2 58  Eve
: 1728 2 61 ry
: 1730 3 59  day
: 1733 4 58  cre
: 1737 3 56 ate
: 1740 3 54  your
: 1743 4 56  his
: 1747 4 58 to
: 1751 3 54 ry!
- 1756
: 1768 3 58 Eve
: 1771 2 58 ry
: 1773 3 61  path
: 1776 3 59  you
: 1779 3 58  take
: 1782 2 56  you're
: 1784 4 54  lea
: 1788 3 58 ving
: 1791 3 54  your
: 1794 5 56  le
: 1799 4 58 ga
: 1803 5 54 cy!
- 1809
: 1811 2 58 Eve
: 1813 2 61 ry
: 1815 4 59  sol
: 1819 3 58 dier
: 1822 3 56  dies
: 1825 2 54  in
: 1827 3 56  his
: 1831 4 58  glo
: 1835 8 54 ry!
- 1845
: 1854 2 58 Eve
: 1856 2 61 ry
: 1858 3 59  le
: 1861 3 58 gend
: 1864 3 56  tells
: 1867 2 54  of
: 1869 4 56  con
: 1873 3 58 quest
: 1877 3 54  and
: 1881 4 56  li
: 1885 4 58 ber
: 1889 4 54 ty!
- 1894
: 1896 2 58  Eve
: 1898 2 61 ry
: 1900 3 59  day
: 1904 2 58  cre
: 1906 3 56 ate
: 1909 3 54  your
: 1913 4 56  his
: 1917 4 58 to
: 1921 5 54 ry!
- 1928
: 1938 2 58 E
: 1940 2 61 very
: 1943 4 59  page
: 1947 2 58  you
: 1949 3 56  turn
: 1952 3 56  you're
: 1955 5 56  writ
: 1960 3 56 ing
: 1963 3 54  your
: 1966 4 56  le
: 1970 3 58 ga
: 1973 7 54 cy!
- 1981
: 1981 2 58 E
: 1983 2 61 very
: 1985 4 59  he
: 1989 2 58 ro
: 1991 4 56  dreams
: 1995 2 56  of
: 1997 4 58  chi
: 2001 4 54 val
: 2005 6 56 ry!
- 2013
: 2023 2 58 E
: 2025 2 61 very
: 2027 4 59  child
: 2031 2 58  should
: 2033 3 58  sing
: 2037 3 56  to
: 2040 4 54 ge
: 2044 4 56 ther
: 2048 2 56  in
: 2050 5 58  har
: 2055 3 56 mo
: 2058 1 54 ny!
- 2059
: 2059 1 54 A
: 2060 3 59  sol
: 2063 2 58 dier
: 2065 7 56  dies
- 2074
: 2080 1 54 A
: 2081 3 54  Mo
: 2084 2 56 ther
: 2086 9 58  cries
- 2097
: 2101 3 56 The
: 2104 2 54  pro
: 2106 3 56 mised
: 2109 10 54  child
: 2120 2 56  shi
: 2122 2 54 nes
: 2124 1 56  in
: 2125 1 54  a
: 2126 2 54  ba
: 2128 2 56 by`s
: 2130 10 58  eyes
- 2141
: 2143 2 58 All
: 2145 3 58  na
: 2148 3 61 tions
: 2151 7 62  sing!
- 2160
: 2163 4 58  Let's
: 2167 3 56  har
: 2170 1 54 mo
: 2171 6 56 nize
: 2177 4 58  all
: 2181 2 54  a
: 2183 3 56 rou
: 2186 1 56 nd
: 2187 1 58  the
: 2188 22 54  world!
E
